Target,IPTM,Affinity Probability
NR3C1,0.9908848703124999,0.8875461780625
PGR,0.9891292229166666,0.8791270827916667
HTR2B,0.9821255591612903,0.8037315789677419
ADRB1,0.9813146069583333,0.6085759114166667
CHRM1,0.9785601659090909,0.7296392267272727
CNR1,0.9775754013333332,0.18317076533333335
ADORA1,0.9765327712941176,0.5094601818823529
DRD1,0.9761543945250001,0.752104878775
CHRM2,0.9759473433076924,0.8227689496153846
ADRA2C,0.9724184418095237,0.7716682615238096
HRH1,0.9721725026666667,0.7881348132666667
HTR2A,0.9720404900882352,0.655662427117647
TACR1,0.97155196975,0.30409720175
CHRM3,0.9711055556666667,0.9000825485
DRD4,0.970993381925926,0.6691926143333333
ADORA2A,0.9702578152352942,0.4262531715882353
ESR1,0.9700834585555556,0.527476317388889
SLC29A1,0.969365254,0.40419106925
HTR1A,0.9692986735,0.6933857691428571
ADRA2B,0.9688509838064516,0.8524638145806451
ADRB3,0.968414589625,0.6062391754375
ESR2,0.9683544783333334,0.47753142558333334
DRD3,0.9674960885714285,0.7753510666904763
HTR2C,0.9666822281515152,0.7236537183030303
ADRB2,0.966454962851852,0.738106246462963
SLC6A4,0.9657147936875,0.72749560978125
TBXA2R,0.9646530747857144,0.4020989611428571
OPRD1,0.9646020779583333,0.4953443666458333
DRD2,0.96431893255,0.722172300575
AGTR1,0.9635112881,0.7983716033
SLC6A2,0.9611752223571429,0.8306070226071428
NPY1R,0.9611465635,0.42777896125
ADRA1A,0.961100106909091,0.7584914850000001
EDNRB,0.961000919,0.177976251
OPRM1,0.9602553739555556,0.5268541
GHSR,0.9578944564,0.42940892889999993
SLC6A3,0.95224841368,0.73471655544
OPRK1,0.951895016652174,0.6926905946521739
CCKBR,0.9511733144000001,0.28892765495
PDE4D,0.9438914361666667,0.3527302521666667
HRH3,0.9424097788947369,0.7328898397368421
CCKAR,0.9406455313478261,0.31843440139130436
NR1I2,0.9400295911666666,0.4381983133333333
MAOA,0.9388514259999999,0.7406419317916666
CACNA1B,0.9301235677499999,0.29095774175
AR,0.9268196484782609,0.6567571144347826
HRH2,0.9253627700000001,0.564230027
NPY2R,0.9186576605,0.035548261
AVPR2,0.9109300675,0.294895217
KCNH2,0.907852501,0.306735605
PDE3A,0.9067470828333333,0.3024590261666667
SCN5A,0.885772556,0.5178118795
AVPR1A,0.8830545343333333,0.21210719166666667
CACNA1C,0.8828573069473684,0.33006249984210523
GABRA1,0.882623181846154,0.3532118603076923
NTSR1,0.869247162,0.530803123
CHRNA10,0.8491053285000001,0.6530621055
ADRA2A,0.8445051824375,0.66073394378125
PTGS2,0.783807285,0.38975915299999997
AVPR3,0.763416469,0.193218946
HTR3A,0.7435195123846154,0.37151494607692304
PTGS1,0.6052929971428572,0.42398474992857144
GRIN3A,0.5166933989259259,0.402342560037037
