Prediction_Id	status	act_status
1	known_chembl	
2	known	
3	known_chembl	
4	known	
5	known_chembl	
6	known	
7	inactive	
8	inactive	
9	known_chembl	
10	inactive	
11	known	
12	known	
13	known	
14	inactive	
15	known	
16	known_chembl	
17	known_chembl	
18	known_chembl	
19	known_chembl	
20	known_chembl	
21	known_chembl	
22	inactive	
23	no data	
24	known_chembl	
25	inactive	
26	known_chembl	
27	no data	
28	known_chembl	
29	inactive	
30	no data	
31	known_chembl	
32	inactive	
33	known_chembl	
34	known	
35	known_chembl	
36	known_chembl	
37	inactive	
38	known	
39	known_chembl	
40	known_chembl	
41	inactive	
42	inactive	
43	inactive	
44	known	
45	known_chembl	
46	known_chembl	
47	inactive	
48	known_chembl	
49	no data	
50	inactive	
51	inactive	
52	no data	
53	inactive	
54	known_chembl	
55	inactive	
56	inactive	
57	inactive	
58	inactive	
59	inactive	
60	known_chembl	
61	inactive	
62	inactive	
63	known	
64	known_chembl	
65	inactive	
66	inactive	
67	inactive	
68	inactive	
69	known_chembl	
70	known	
71	known_chembl	
72	known	
73	known_chembl	
74	known_chembl	
75	known_chembl	
76	known_chembl	
77	known_chembl	
78	confirmed	10uM
79	inactive	
80	inactive	
81	known_chembl	
82	no data	
83	no data	
84	known	
85	no data	
86	known_chembl	
87	inactive	
88	no data	
89	no data	
90	no data	
91	inactive	
92	known_chembl	
93	known_chembl	
94	known_chembl	
95	known_chembl	
96	known_chembl	
97	inactive	
98	known_chembl	
99	known_chembl	
100	known_chembl	
101	known_chembl	
102	known_chembl	
103	known_chembl	
104	known_chembl	
105	known	
106	known_chembl	
107	inactive	
108	known_chembl	
109	inactive	
110	known_chembl	
111	known_chembl	
112	known	
113	confirmed	>10uM
114	known_chembl	
115	known_chembl	
116	known	
117	confirmed	10uM
118	inactive	
119	inactive	
120	inactive	
121	inactive	
122	known_chembl	
123	inactive	
124	known_chembl	
125	known_chembl	
126	inactive	
127	known	
128	known_chembl	
129	inactive	
130	known_chembl	
131	known	
132	known_chembl	
133	known_chembl	
134	known_chembl	
135	known	
136	known_chembl	
137	known	
138	known_chembl	
139	known	
140	known	
141	known	
142	known_chembl	
143	known_chembl	
144	known	
145	known_chembl	
146	known_chembl	
147	known	
148	confirmed	1uM
149	confirmed	10uM
150	known_chembl	
