Target,n_iptm,n_pos_iptm,auc_iptm,weight_iptm,n_affinity,n_pos_affinity,auc_affinity,weight_affinity
ADRA1A,13,9,0.4444,36.0,13,9,0.5556,36.0
ADRA2A,20,7,0.7473,91.0,20,7,0.6154,91.0
ADRA2B,19,6,0.4359,78.0,19,6,0.5,78.0
ADRA2C,21,9,0.4444,108.0,21,9,0.7593,108.0
ADRB1,13,1,0.1667,12.0,13,1,1.0,12.0
ADRB2,35,5,0.3333,150.0,35,5,0.86,150.0
AR,13,4,0.5833,36.0,13,4,0.6667,36.0
CHRM1,6,4,0.625,8.0,6,4,0.625,8.0
CHRM2,7,5,0.7,10.0,7,5,0.9,10.0
DRD1,27,4,0.3478,92.0,27,4,0.5761,92.0
DRD2,26,2,0.4167,48.0,26,2,0.8958,48.0
DRD3,22,8,0.4375,112.0,22,8,0.6518,112.0
DRD4,14,5,0.4444,45.0,14,5,0.7111,45.0
GABRA1,12,1,0.7273,11.0,12,1,0.5455,11.0
HRH1,10,5,0.52,25.0,10,5,0.8,25.0
HRH2,8,2,0.8333,12.0,8,2,0.75,12.0
HRH3,10,3,0.5714,21.0,10,3,0.9048,21.0
HTR1A,9,3,0.5,18.0,9,3,0.7222,18.0
HTR2A,21,8,0.5769,104.0,21,8,0.4519,104.0
HTR2B,22,6,0.4896,96.0,22,6,0.75,96.0
HTR2C,27,3,0.5417,72.0,27,3,0.9167,72.0
HTR3A,8,1,0.2857,7.0,8,1,0.8571,7.0
NR3C1,7,6,1.0,6.0,7,6,0.6667,6.0
OPRD1,31,1,0.1,30.0,31,1,0.7333,30.0
OPRK1,13,7,0.4286,42.0,13,7,0.381,42.0
OPRM1,34,6,0.5952,168.0,34,6,0.8095,168.0
PDE4D,6,2,0.5,8.0,6,2,1.0,8.0
PGR,11,8,0.8333,24.0,11,8,0.8333,24.0
PTGS1,10,2,0.4375,16.0,10,2,0.75,16.0
SCN5A,3,1,0.5,2.0,3,1,1.0,2.0
SLC6A2,15,4,0.4091,44.0,15,4,0.6591,44.0
SLC6A3,14,4,0.125,40.0,14,4,0.85,40.0
SLC6A4,16,3,0.7692,39.0,16,3,0.6667,39.0
TACR1,2,1,0.0,1.0,2,1,0.0,1.0
