drug,matched_S1_entry,name_match,status,formula_pubchem,formula_S1,smiles_pubchem,smiles_S1
Buphenin,buphenin,exact,identical,C19H25NO2,C19H25NO2,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O,CC(NC(C(c1ccc(O)cc1)O)C)CCc2ccccc2
Domperidone,domperidone,exact,identical,C22H24ClN5O2,C22H24ClN5O2,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,Clc1ccc2c(NC(=O)N2C3CCN(CCCN4c5c(cccc5)NC4=O)CC3)c1
Tegaserod,tegaserod,exact,identical,C16H23N5O,C16H23N5O,CCCCCN=C(N)NN=CC1=CNC2=C1C=C(C=C2)OC,CCCCCNC(NN=Cc1c(c2[nH]c1)cc(OC)cc2)=N
Alosetron,alosetron,exact,identical,C17H18N4O,C17H18N4O,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,Cn1c2c(cccc2)c3c1CCN(Cc4nc[nH]c4C)C3=O
Dyclonine,dyclonine,exact,identical,C18H27NO2,C18H27NO2,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2,CCCCOc1ccc(C(CCN2CCCCC2)=O)cc1
Ephedrine,ephedrine,exact,identical,C10H15NO,C10H15NO,CC(C(C1=CC=CC=C1)O)NC,CNC(C(c1ccccc1)O)C
Fenoterol,fenoterol,exact,identical,C17H21NO4,C17H21NO4,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O,CC(NCC(c1cc(O)cc(O)c1)O)Cc2ccc(O)cc2
Meclozine,meclozine,exact,identical,C25H27ClN2,C25H27ClN2,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,Cc1cc(CN2CCN(C(c3ccc(Cl)cc3)c4ccccc4)CC2)ccc1
Pseudoephedrine,pseudoephedrine,exact,identical,C10H15NO,C10H15NO,CC(C(C1=CC=CC=C1)O)NC,CNC(C(c1ccccc1)O)C
Terfenadine,terfenadine,exact,identical,C32H41NO2,C32H41NO2,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,CC(c1ccc(C(CCCN2CCC(C(c3ccccc3)(c4ccccc4)O)CC2)O)cc1)(C)C
